Creation TS  	 Processing TS 	 TX ID 	 RSSI  	SEQ NO  	X-Axis 	Y-Axis 	Z-Axis 	  X  	  Y  	 Z 
--------------------------------------------------------------------------------------------------------------------
-2041655847	 1617161014	 03004	 -65.0     211  	b'fff6'	b'0009'	b'00e9'	-0.039	0.0351	0.9087
-2041655804	 1617161015	 03004	 -62.0     125  	b'fff2'	b'000b'	b'00e7'	-0.0546	0.0429	0.9009
-2041655784	 1617161015	 03004	 -62.0     126  	b'fff5'	b'000c'	b'00e8'	-0.0429	0.0468	0.9048
-2041655763	 1617161015	 03004	 -62.0     127  	b'fff8'	b'000a'	b'00e4'	-0.0312	0.039	0.8892
-2041655743	 1617161015	 03004	 -62.5     128  	b'fff8'	b'000a'	b'00e6'	-0.0312	0.039	0.897
-2041655722	 1617161015	 03004	 -62.5     129  	b'ffed'	b'0004'	b'00e5'	-0.0741	0.0156	0.8931
-2041655701	 1617161015	 03004	 -62.0     130  	b'fff2'	b'000a'	b'00e6'	-0.0546	0.039	0.897
-2041655680	 1617161015	 03004	 -62.0     131  	b'fff6'	b'000d'	b'00e6'	-0.039	0.0507	0.897
-2041655660	 1617161015	 03004	 -62.0     132  	b'fff4'	b'000b'	b'00e7'	-0.0468	0.0429	0.9009
-2041655639	 1617161015	 03004	 -62.0     133  	b'fff3'	b'0009'	b'00e6'	-0.0507	0.0351	0.897
-2041655618	 1617161015	 03004	 -62.0     134  	b'fff5'	b'000a'	b'00e7'	-0.0429	0.039	0.9009
-2041655598	 1617161015	 03004	 -61.5     135  	b'fff2'	b'000a'	b'00e9'	-0.0546	0.039	0.9087
-2041655577	 1617161015	 03004	 -62.0     136  	b'fff3'	b'0009'	b'00e6'	-0.0507	0.0351	0.897
-2041655556	 1617161015	 03004	 -62.0     137  	b'fff4'	b'000a'	b'00e8'	-0.0468	0.039	0.9048
-2041655536	 1617161015	 03004	 -62.0     138  	b'fff3'	b'000a'	b'0068'	-0.0507	0.039	0.4056
-2041655515	 1617161015	 03004	 -62.0     139  	b'fff3'	b'000a'	b'00e6'	-0.0507	0.039	0.897
-2041655494	 1617161015	 03004	 -62.5     140  	b'fff3'	b'000a'	b'00e5'	-0.0507	0.039	0.8931
-2041655473	 1617161015	 03004	 -62.5     141  	b'fff4'	b'0008'	b'00e8'	-0.0468	0.0312	0.9048
-2041655453	 1617161015	 03004	 -62.5     142  	b'fff4'	b'000a'	b'00e6'	-0.0468	0.039	0.897
-2041655432	 1617161015	 03004	 -63.5     143  	b'fff4'	b'000a'	b'00e7'	-0.0468	0.039	0.9009
-2041655411	 1617161015	 03004	 -63.5     144  	b'fff2'	b'000c'	b'00e8'	-0.0546	0.0468	0.9048
-2041655391	 1617161015	 03004	 -63.5     145  	b'fff3'	b'0009'	b'00e8'	-0.0507	0.0351	0.9048
-2041655370	 1617161015	 03004	 -63.5     146  	b'fff4'	b'0009'	b'00e8'	-0.0468	0.0351	0.9048
-2041655349	 1617161015	 03004	 -63.5     147  	b'fff3'	b'0009'	b'00e7'	-0.0507	0.0351	0.9009
-2041655329	 1617161015	 03004	 -63.5     148  	b'fff2'	b'0009'	b'0068'	-0.0546	0.0351	0.4056
-2041655308	 1617161015	 03004	 -64.0     149  	b'fff4'	b'000a'	b'00e9'	-0.0468	0.039	0.9087
-2041655246	 1617161015	 03004	 -63.5     152  	b'fff1'	b'000b'	b'00e7'	-0.0585	0.0429	0.9009
-2041655225	 1617161015	 03004	 -63.5     153  	b'fff0'	b'000a'	b'00e8'	-0.0624	0.039	0.9048
-2041655205	 1617161015	 03004	 -63.5     154  	b'fff3'	b'000a'	b'00e8'	-0.0507	0.039	0.9048
-2041655184	 1617161015	 03004	 -63.5     155  	b'ff75'	b'0008'	b'00e7'	-0.5421	0.0312	0.9009
-2041655163	 1617161015	 03004	 -63.5     156  	b'fff4'	b'0009'	b'00e9'	-0.0468	0.0351	0.9087
-2041655143	 1617161015	 03004	 -63.5     157  	b'fff4'	b'000a'	b'00e6'	-0.0468	0.039	0.897
-2041655122	 1617161015	 03004	 -63.5     158  	b'fff4'	b'000b'	b'00e7'	-0.0468	0.0429	0.9009
-2041655101	 1617161015	 03004	 -63.5     159  	b'fff3'	b'000b'	b'00e7'	-0.0507	0.0429	0.9009
-2041655081	 1617161015	 03004	 -63.5     160  	b'fff4'	b'0009'	b'00e6'	-0.0468	0.0351	0.897
-2041655060	 1617161015	 03004	 -63.5     161  	b'fff4'	b'0008'	b'00e9'	-0.0468	0.0312	0.9087
-2041655039	 1617161015	 03004	 -64.0     162  	b'fff2'	b'000b'	b'00e8'	-0.0546	0.0429	0.9048
-2041655019	 1617161015	 03004	 -64.0     163  	b'fff3'	b'000a'	b'00e7'	-0.0507	0.039	0.9009
-2041654998	 1617161015	 03004	 -64.0     164  	b'fff4'	b'000a'	b'00e6'	-0.0468	0.039	0.897
-2041654977	 1617161015	 03004	 -64.0     165  	b'fff3'	b'000a'	b'00e8'	-0.0507	0.039	0.9048
-2041654957	 1617161015	 03004	 -64.5     166  	b'fff3'	b'0009'	b'00e6'	-0.0507	0.0351	0.897
